school,region,pct_eds,spg_score,enrollment,spg_grade
Shelby High,Southwest,67.6,56.0,794.0,C
Westover Middle,Sandhills,68.4,53.0,787.0,D
Paisley IB Magnet School,Piedmont Triad,68.2,38.0,671.0,F
Reid Park Academy,Southwest,73.1,42.0,302.0,D
Flat Rock Elementary,Piedmont Triad,70.7,59.0,169.0,C
Robinson Elementary,Southwest,63.7,52.0,386.0,D
Reidsville Middle,Piedmont Triad,66.2,39.0,610.0,F
North Stanly Middle,Southwest,53.9,43.0,475.0,D
Greenwood Middle,Southeast,54.9,56.0,410.0,C
Tuckaseegee Elementary,Southwest,64.7,45.0,599.0,D
Lake Myra Elementary,North Central,52.7,56.0,636.0,C
Dobson Elementary,Piedmont Triad,61.6,63.0,326.0,C
Swain County Middle School,Western,65.1,58.0,387.0,C
Avery's Creek Elementary,Western,68.4,55.0,548.0,C
Fairgrove Elementary School,Sandhills,78.4,42.0,275.0,D
Rosenwald Elementary,Sandhills,85.5,32.0,344.0,F
Middle Creek High,North Central,27.0,78.0,1586.0,B
Carver Elementary,Southeast,68.3,43.0,530.0,D
Kiser Elementary,Southwest,66.4,58.0,331.0,C
Mount Pleasant Middle,Southwest,46.7,59.0,692.0,C
Cook Literacy Model School,Piedmont Triad,90.8,50.0,254.0,D
West McDowell Middle School,Northwest,67.7,55.0,609.0,C
Roseboro-Salemburg Middle,Sandhills,68.0,42.0,401.0,D
James Love Elementary,Southwest,82.2,55.0,337.0,C
Wallace-Rose Hill High,Southeast,48.7,50.0,783.0,D
Sharon Elementary,Southwest,13.1,85.0,722.0,A
Estes Elementary,Western,52.4,67.0,742.0,C
Central Elementary,Piedmont Triad,64.0,51.0,561.0,D
Charles B Aycock High,Southeast,37.9,62.0,1050.0,C
Wilkesboro Elementary School,Northwest,44.7,68.0,335.0,C
William H Owen Elementary,Sandhills,67.8,52.0,405.0,D
Blowing Rock Elementary,Northwest,19.8,78.0,411.0,B
Roanoke Valley Early College,Northeast,42.3,60.0,121.0,C
Granite Quarry Elementary,Southwest,64.2,37.0,528.0,F
