school,region,locale,spg_score,pct_eds
Ida Rankin Elementary School,Southwest,Suburb,69.0,58.6
Peterson Elementary,Sandhills,Rural,38.0,72.3
Nancy Reynolds Elementary School,Piedmont Triad,Rural,63.0,72.0
Moravian Falls Elementary School,Northwest,Rural,85.0,53.6
Northwest Guilford Middle,Piedmont Triad,City,80.0,18.4
West End Elementary,Sandhills,Rural,78.0,32.3
North Chatham Elementary,North Central,Rural,68.0,32.9
Jacksonville High,Southeast,City,78.0,45.0
Turner Creek Elementary,North Central,City,74.0,19.7
Ward Elementary,Piedmont Triad,City,51.0,62.5
Enfield Middle S.T.E.A.M. Academy,Northeast,Rural,35.0,76.2
River Oaks Academy,Southwest,City,51.0,72.8
Ogden Elementary,Southeast,City,86.0,16.2
Wheatmore High School,Piedmont Triad,Rural,68.0,44.3
West Pine Middle,Sandhills,Rural,76.0,29.0
J C Sawyer Elementary,Northeast,Rural,46.0,65.6
Lingerfeldt Elementary,Southwest,Suburb,37.0,81.6
Rockingham County High,Piedmont Triad,Town,69.0,40.9
Millingport Elementary,Southwest,Rural,75.0,52.3
Leesville Road High,North Central,City,80.0,21.9
Apple Valley Middle,Western,Suburb,51.0,68.8
Nash Everywhere Digital Academy (NEDA),North Central,Rural,46.0,49.0
Hopewell Elementary School,Piedmont Triad,Rural,71.0,50.5
Charles H Darden Middle,North Central,Rural,38.0,84.1
East Franklin Elementary,Western,Rural,60.0,60.1
Ahoskie Elementary,Northeast,Rural,52.0,77.8
Wilburn Elementary,North Central,City,47.0,81.3
